STATE,YEAR,GRAIN,TEMP_MEAN,TEMP_MIN,TEMP_MAX,PCP_SUM,PDSI_MEAN
MINNESOTA,1918,37.0,40.11666666666667,-11.8,79.1,24.1,-2.02
MISSOURI,1918,20.0,54.708333333333336,4.9,94.0,37.42,-2.595833333333333
NEBRASKA,1918,18.0,48.48333333333333,0.7,88.3,22.79,-0.8816666666666667
ILLINOIS,1919,36.0,52.09166666666667,14.2,91.1,37.23,-0.0608333333333333
INDIANA,1919,35.6,52.291666666666664,15.4,90.8,38.82,-0.32
IOWA,1919,41.6,47.51666666666667,5.0,89.4,36.4,1.5108333333333333
MINNESOTA,1919,35.5,39.225,-3.8,82.2,27.31,1.4691666666666665
MISSOURI,1919,26.5,54.666666666666664,18.3,91.6,40.58,-0.1708333333333333
NEBRASKA,1919,24.0,47.19166666666666,8.0,90.7,24.46,1.915
ILLINOIS,1920,35.0,50.80833333333333,12.2,86.4,32.58,-0.8608333333333333
INDIANA,1920,39.5,50.375,12.2,84.5,36.11,-0.5191666666666667
IOWA,1920,46.0,47.05833333333334,5.7,83.4,31.06,0.2625
MINNESOTA,1920,33.5,39.675,-8.6,79.3,25.45,0.8891666666666667
MISSOURI,1920,31.5,53.724999999999994,18.0,88.3,37.69,0.1291666666666666
NEBRASKA,1920,33.2,47.583333333333336,14.4,87.7,24.9,3.6841666666666666
ILLINOIS,1921,35.0,55.0,24.6,92.5,40.74,-1.2208333333333334
INDIANA,1921,36.0,54.93333333333334,24.2,92.5,44.73,-0.265
IOWA,1921,43.0,51.03333333333333,16.4,89.6,32.0,-0.4916666666666667
MINNESOTA,1921,38.5,42.45,5.2,85.4,23.01,-2.0766666666666667
MISSOURI,1921,30.5,57.56666666666666,26.1,92.0,44.34,0.495
NEBRASKA,1921,27.0,50.93333333333334,15.7,89.0,20.29,-0.3091666666666666
ILLINOIS,1922,35.5,52.975,14.0,86.8,34.0,-0.8975
INDIANA,1922,36.0,52.85833333333333,14.8,85.8,38.12,-0.4816666666666667
IOWA,1922,45.0,48.975,7.3,85.0,29.57,-0.4025
MINNESOTA,1922,29.5,40.891666666666666,-6.3,81.9,23.12,-3.1025000000000005
MISSOURI,1922,28.5,55.666666666666664,17.8,89.1,39.28,-0.6425
NEBRASKA,1922,24.0,48.61666666666667,6.6,89.7,20.6,-1.2933333333333332
ILLINOIS,1923,37.5,51.68333333333334,15.8,88.7,37.66,-1.2066666666666668
INDIANA,1923,38.0,51.35833333333333,16.1,86.8,42.38,0.385
IOWA,1923,40.5,47.86666666666667,7.4,88.2,29.63,-0.7583333333333333
MINNESOTA,1923,35.0,40.35,-8.0,83.7,20.21,-3.2841666666666662
MISSOURI,1923,30.0,54.666666666666664,19.5,89.2,41.14,0.4624999999999999
NEBRASKA,1923,32.0,48.125,8.9,88.0,28.09,2.0166666666666666
ILLINOIS,1924,33.0,49.23333333333333,10.2,84.5,35.79,0.3408333333333333
INDIANA,1924,28.0,48.95,12.0,84.4,37.34,0.39
IOWA,1924,28.0,45.075,1.4,81.6,31.0,0.3941666666666666
MINNESOTA,1924,26.5,37.675,-11.2,78.3,24.540000000000003,-1.6933333333333334
MISSOURI,1924,23.5,52.349999999999994,13.4,87.8,40.08,0.5058333333333332
NEBRASKA,1924,21.5,45.81666666666666,2.8,85.8,20.35,3.1999999999999997
ILLINOIS,1925,41.0,51.775,15.4,86.9,32.1,-0.8708333333333332
INDIANA,1925,42.0,51.59166666666667,16.3,86.1,34.54,-1.3191666666666666
IOWA,1925,43.9,47.51666666666667,7.5,86.3,27.93,-0.2724999999999999
MINNESOTA,1925,36.0,39.791666666666664,-3.9,81.3,23.58,-0.0175
MISSOURI,1925,27.5,55.041666666666664,18.6,89.4,39.18,-0.0666666666666666
NEBRASKA,1925,25.0,48.73333333333333,6.8,89.1,20.73,-0.2541666666666667
ILLINOIS,1926,36.0,50.36666666666667,18.8,88.3,42.81,1.330833333333333
INDIANA,1926,38.0,50.01666666666667,18.3,87.7,43.23,1.1116666666666666
IOWA,1926,39.0,47.06666666666666,11.1,86.0,32.33,0.6116666666666667
MINNESOTA,1926,34.0,38.791666666666664,-1.2,81.4,24.88,0.1425
MISSOURI,1926,26.0,53.791666666666664,21.8,90.2,42.88,0.6191666666666666
NEBRASKA,1926,15.5,48.90833333333333,13.2,88.4,20.57,-0.4533333333333333
ILLINOIS,1927,32.0,51.98333333333333,16.4,85.7,49.21,4.0625
INDIANA,1927,31.5,51.95,17.9,85.5,48.67,3.16
IOWA,1927,35.0,47.6,6.7,85.6,29.29,0.0691666666666666
MINNESOTA,1927,31.0,38.55833333333333,-7.9,77.3,24.36,0.7441666666666666
MISSOURI,1927,27.0,54.958333333333336,18.2,86.9,55.01,4.284166666666667
NEBRASKA,1927,32.1,47.6,4.3,86.7,23.71,1.4725
ILLINOIS,1928,38.0,51.40833333333333,18.8,86.6,36.98,2.775833333333334
INDIANA,1928,35.2,50.55833333333334,18.4,85.4,35.980000000000004,1.7891666666666668
IOWA,1928,41.5,48.2,13.8,84.9,35.46,0.6416666666666666
MINNESOTA,1928,35.0,40.516666666666666,0.7,79.3,25.94,1.01
MISSOURI,1928,27.5,54.39166666666667,21.8,87.7,45.04,3.375833333333333
NEBRASKA,1928,22.0,48.53333333333333,14.8,87.0,21.86,-0.2191666666666667
ILLINOIS,1929,35.5,49.9,9.7,86.5,41.71,2.8266666666666667
INDIANA,1929,31.3,49.90833333333333,13.0,86.2,46.39,1.8583333333333336
IOWA,1929,40.2,45.2,-2.0,84.9,29.45,0.5866666666666667
MINNESOTA,1929,36.5,37.541666666666664,-16.0,82.6,20.52,-0.8033333333333333
MISSOURI,1929,23.2,52.81666666666666,13.2,88.5,45.92,3.418333333333333
NEBRASKA,1929,25.2,46.291666666666664,3.3,88.9,22.6,0.895
ILLINOIS,1930,27.0,52.55,10.0,92.1,27.55,-2.1483333333333334
INDIANA,1930,28.0,52.03333333333333,14.5,91.1,29.55,-2.3233333333333333
IOWA,1930,34.0,48.958333333333336,-1.3,91.0,26.09,-1.3558333333333332
MINNESOTA,1930,33.0,41.19166666666667,-11.7,83.9,22.32,-2.3225
MISSOURI,1930,16.0,55.15,10.1,94.9,31.25,-1.9783333333333335
NEBRASKA,1930,25.0,48.81666666666666,-2.0,93.1,25.48,1.2558333333333334
ILLINOIS,1931,37.0,54.88333333333333,23.1,91.2,37.39,-4.820833333333334
INDIANA,1931,39.0,54.208333333333336,23.1,90.5,37.99,-3.35
IOWA,1931,32.9,52.01666666666667,17.1,89.9,34.59,-2.0733333333333333
MINNESOTA,1931,25.0,45.03333333333333,8.5,84.2,22.95,-3.5841666666666665
MISSOURI,1931,26.0,57.21666666666667,24.3,92.3,40.59,-1.7825
NEBRASKA,1931,17.0,51.325,17.4,91.6,18.99,-0.3033333333333333
ILLINOIS,1932,43.0,52.05,19.5,89.2,35.83,-0.7975
INDIANA,1932,37.5,51.85833333333333,20.7,88.2,42.11,0.07
IOWA,1932,43.0,47.025,11.0,87.6,31.67,2.035833333333333
MINNESOTA,1932,37.5,39.56666666666667,0.1,82.6,22.06,-2.42
MISSOURI,1932,28.0,54.875,20.8,91.0,36.92,-0.285
NEBRASKA,1932,25.0,47.73333333333333,7.6,90.8,20.57,-0.2658333333333333
ILLINOIS,1933,27.5,53.6,17.3,91.4,34.66,-0.8125
INDIANA,1933,29.5,53.208333333333336,19.3,90.6,40.09,-0.2424999999999999
IOWA,1933,40.0,49.51666666666667,9.2,91.6,24.5,-1.4083333333333332
MINNESOTA,1933,31.0,40.416666666666664,-4.8,85.7,20.94,-3.4066666666666667
MISSOURI,1933,24.0,56.51666666666667,19.7,91.3,36.64,-0.7683333333333332
NEBRASKA,1933,22.5,50.63333333333333,7.9,92.3,20.13,-2.1683333333333334
ILLINOIS,1934,22.1,53.21666666666667,14.8,94.2,32.769999999999996,-3.6075
INDIANA,1934,27.6,52.366666666666674,12.4,92.9,29.67,-4.4375
IOWA,1934,28.2,50.19166666666666,11.8,92.3,26.73,-5.156666666666667
MINNESOTA,1934,24.6,41.358333333333334,0.3,83.4,20.46,-6.2425
MISSOURI,1934,9.3,56.63333333333333,19.8,100.3,34.45,-2.6991666666666667
NEBRASKA,1934,6.2,52.00833333333333,15.0,97.7,14.5,-5.595833333333334
ILLINOIS,1935,38.5,51.25833333333333,16.9,89.4,41.29,0.6108333333333333
INDIANA,1935,38.0,51.05833333333334,16.4,88.3,38.73,-2.3766666666666665
IOWA,1935,38.0,47.38333333333333,9.7,90.5,32.519999999999996,0.345
MINNESOTA,1935,34.5,39.391666666666666,-7.7,85.5,25.93,-0.1524999999999999
